iter	Passed	Remaining
553	5379	4330
554	5389	4321
555	5399	4311
556	5408	4301
557	5417	4291
558	5425	4280
559	5435	4271
560	5444	4260
561	5454	4251
562	5463	4240
563	5472	4230
564	5481	4220
565	5490	4210
566	5499	4200
567	5509	4190
568	5518	4179
569	5527	4169
570	5537	4160
571	5546	4150
572	5555	4139
573	5564	4129
574	5573	4119
575	5582	4109
576	5591	4099
577	5600	4089
578	5609	4078
579	5619	4069
580	5628	4059
581	5637	4048
582	5646	4038
583	5655	4028
584	5665	4018
585	5674	4008
586	5683	3999
587	5693	3988
588	5702	3978
589	5710	3968
590	5720	3958
591	5729	3948
592	5737	3938
593	5747	3928
594	5757	3918
595	5765	3908
596	5775	3898
597	5784	3888
598	5795	3879
599	5804	3869
600	5813	3859
601	5822	3849
602	5832	3839
603	5841	3829
604	5850	3820
605	5860	3809
606	5869	3799
607	5878	3790
608	5888	3780
609	5896	3770
610	5905	3759
611	5915	3750
612	5924	3740
613	5934	3730
614	5943	3720
615	5952	3710
616	5962	3700
617	5970	3690
618	5979	3680
619	5988	3670
620	5997	3660
621	6007	3650
622	6016	3640
623	6026	3631
624	6036	3621
625	6047	3612
626	6058	3604
627	6068	3594
628	6077	3584
629	6086	3574
630	6095	3564
631	6106	3555
632	6115	3545
633	6124	3535
634	6134	3526
635	6143	3516
636	6153	3506
637	6162	3496
638	6171	3486
639	6181	3476
640	6190	3466
641	6200	3457
642	6209	3447
643	6219	3438
644	6228	3428
645	6238	3418
646	6248	3408
647	6258	3399
648	6267	3389
649	6277	3379
650	6286	3370
651	6295	3360
652	6304	3350
653	6313	3340
654	6322	3330
655	6332	3320
656	6341	3310
657	6350	3300
658	6359	3290
659	6369	3281
660	6378	3271
661	6388	3261
662	6397	3251
663	6407	3242
664	6416	3232
665	6425	3222
666	6434	3212
667	6444	3202
668	6453	3193
669	6463	3183
670	6472	3173
671	6482	3163
672	6491	3154
673	6501	3144
674	6510	3134
675	6520	3125
676	6531	3116
677	6540	3106
678	6549	3096
679	6558	3086
680	6567	3076
681	6577	3067
682	6587	3057
683	6596	3047
684	6605	3037
685	6614	3027
686	6624	3018
687	6634	3008
688	6643	2998
689	6653	2989
690	6662	2979
691	6672	2969
692	6680	2959
693	6690	2949
694	6699	2940
695	6708	2930
696	6717	2920
697	6726	2910
698	6736	2900
699	6745	2890
700	6754	2881
701	6763	2871
702	6772	2861
703	6781	2851
704	6791	2841
705	6801	2832
706	6810	2822
707	6819	2812
708	6828	2802
709	6838	2793
710	6847	2783
711	6856	2773
712	6866	2763
713	6875	2753
714	6883	2743
715	6892	2734
716	6902	2724
717	6911	2714
718	6920	2704
719	6929	2694
720	6939	2685
721	6947	2675
722	6957	2665
723	6967	2655
724	6976	2646
725	6985	2636
726	6994	2626
727	7003	2616
728	7012	2606
729	7022	2597
730	7031	2587
731	7040	2577
732	7050	2568
733	7059	2558
734	7069	2549
735	7079	2539
736	7088	2529
737	7097	2519
738	7107	2510
739	7116	2500
740	7125	2490
741	7135	2480
742	7145	2471
743	7154	2461
744	7163	2452
745	7173	2442
746	7182	2432
747	7192	2422
748	7201	2413
749	7210	2403
750	7219	2393
751	7229	2384
752	7238	2374
753	7247	2364
754	7257	2355
755	7268	2345
