iter	Passed	Remaining
581	6470	4647
582	6481	4635
583	6491	4624
584	6502	4612
585	6513	4601
586	6523	4590
587	6534	4578
588	6545	4567
589	6556	4556
590	6567	4544
591	6578	4533
592	6588	4522
593	6600	4511
594	6611	4500
595	6622	4489
596	6633	4478
597	6644	4466
598	6655	4455
599	6665	4443
600	6676	4432
601	6687	4421
602	6697	4409
603	6708	4398
604	6718	4386
605	6729	4375
606	6740	4363
607	6750	4352
608	6761	4341
609	6772	4330
610	6783	4318
611	6794	4307
612	6805	4296
613	6815	4284
614	6826	4273
615	6837	4262
616	6848	4250
617	6858	4239
618	6869	4227
619	6880	4216
620	6891	4205
621	6901	4194
622	6913	4183
623	6925	4172
624	6935	4161
625	6946	4150
626	6957	4139
627	6968	4127
628	6979	4116
629	6990	4105
630	7002	4094
631	7013	4083
632	7024	4072
633	7034	4061
634	7045	4049
635	7057	4038
636	7067	4027
637	7078	4016
638	7088	4004
639	7099	3993
640	7109	3981
641	7120	3970
642	7130	3959
643	7141	3947
644	7151	3936
645	7162	3925
646	7173	3913
647	7183	3902
648	7195	3891
649	7205	3879
650	7216	3868
651	7227	3857
652	7238	3846
653	7249	3835
654	7259	3823
655	7271	3813
656	7284	3802
657	7294	3791
658	7305	3780
659	7315	3768
660	7327	3757
661	7337	3746
662	7350	3736
663	7361	3725
664	7372	3713
665	7382	3702
666	7393	3691
667	7404	3679
668	7415	3668
669	7425	3657
670	7436	3646
671	7449	3636
672	7460	3624
673	7470	3613
674	7481	3602
675	7493	3591
676	7503	3580
677	7514	3568
678	7525	3557
679	7536	3546
680	7547	3535
681	7557	3524
682	7568	3512
683	7579	3501
684	7589	3490
685	7600	3478
686	7611	3467
687	7623	3457
688	7633	3445
689	7644	3434
690	7654	3423
691	7666	3412
692	7676	3400
693	7686	3389
694	7697	3378
695	7708	3366
696	7718	3355
697	7729	3344
698	7740	3333
699	7751	3322
700	7762	3310
701	7772	3299
702	7783	3288
703	7794	3277
704	7804	3265
705	7815	3254
706	7826	3243
707	7837	3232
708	7848	3221
709	7859	3210
710	7870	3199
711	7880	3187
712	7891	3176
713	7901	3165
714	7912	3154
715	7924	3143
716	7934	3131
717	7945	3120
718	7956	3109
719	7967	3098
720	7977	3087
721	7988	3075
722	7999	3064
723	8010	3053
724	8020	3042
725	8030	3030
726	8040	3019
727	8051	3008
728	8062	2997
729	8073	2986
730	8084	2974
731	8094	2963
732	8104	2952
733	8115	2940
734	8126	2929
735	8136	2918
736	8147	2907
737	8157	2896
738	8168	2884
739	8179	2873
740	8190	2862
741	8200	2851
742	8211	2840
743	8223	2829
744	8233	2818
745	8244	2807
746	8254	2795
747	8265	2784
748	8276	2773
749	8286	2762
750	8297	2751
751	8308	2740
752	8319	2729
753	8330	2717
754	8340	2706
755	8351	2695
756	8362	2684
757	8372	2673
758	8384	2662
759	8395	2651
760	8406	2640
761	8417	2629
762	8429	2618
763	8440	2607
764	8451	2596
765	8461	2584
766	8472	2573
767	8482	2562
768	8493	2551
769	8504	2540
770	8515	2529
771	8525	2517
772	8536	2506
773	8547	2495
774	8558	2484
775	8569	2473
776	8579	2462
777	8590	2451
778	8601	2440
779	8612	2429
780	8622	2417
781	8633	2406
